,base,base,base,base,base,base,base,base,base,base,base,base,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn
Quem é o prefeito de Rotterdam?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os oceanógrafos suecos.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mostre-me a autobiografia de Hemingway.,158361848,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,87372265,92145181,92113849,106761056,85349111,119518708,92227698,103125394,88799420,101471992,97788667,88497573,101659014,83062849,97132861,109448277,99837584,101547267,102458185,90374140,93978397,113494044,94325808,96637224
Quem são os pais da esposa de Juan Carlos I?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tesla ganhou um Prêmio Nobel de Física?,271181130,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,81642977,72083682,95224756,93746234,129986582,106951236,96132591,106014122,116642953,143596455,115198874,117200366,126075777,122074715,152755529,171820123,142396500,134525003,174285528,127887190,144393783,168812932,172638881,190622362
Quem é o jogador de basquete mais alto?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual cidade tem menos habitantes?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
A proinsulina é uma proteína?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem foram os pais da Rainha Victoria?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Che Guevara teve filhos?,364131560,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,208394880,208577877,202833080,195905726,198286862,222362553,201937637,202688863,199894018,212435511,219924777,193906255,202868110,211632323,212879224,194127469,198104305,205158464,230157430,197232311,232621943,207964516,213337019,213845443
O lago Baikal é maior do que o lago Great Bear?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Kaurismäki alguma vez venceu o Grand Prix de Cannes?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os livros de William Goldman com mais de 300 páginas.,32878582270,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,251793825,259127945,255631081,261693326,263749132,288229161,280557119,278249088,248718811,307401216,302287192,296804524,314144993,314024531,371306198,368434889,443360042,498161421,594375099,617701679,1033580939,1070680984,1395606291,1369484522
Onde está localizado o Fort Knox?,249501339,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,145224895,148056072,147202742,146281978,157978650,157668251,152651857,149102765,151966164,149092343,158584059,150503392,146450383,144267971,162272740,142523144,165907753,151329165,147553512,155876763,155251287,150228047,151954079,142974819
Em que estado dos EUA fica o Fort Knox?,145769914,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,79896606,81432632,85684371,68842179,68058025,77003354,79080846,78358897,85427336,73825862,85170534,82192641,84893847,77816458,76089211,78661597,71524346,83704040,76817230,78810877,74857194,74830867,78524652,74007486
Onde está enterrado Syngman Rhee?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual é o fuso horário de São Pedro de Atacama?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
A que movimento artístico o pintor do quadro As Três Dançarinas pertencia?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que cientista é conhecido pelo Projeto Manhattan e pelo Prêmio Nobel da Paz?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,183110373,183663877,199009089,189650974,189253223,198990751,215718069,214403449,262481773,245972128,307203178,302615119,325420651,339280363,379873394,392228970,497302000,459003894,674615314,672653229,1111146507,1109763025,1248458209,1242006908
Mostre-me todos os livros de Asimov da série Fundação.,76092646546,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,258555693,244261136,268532488,299383697,251393397,269989525,260190662,265926447,287798874,292787593,266956110,305701159,295202831,296104727,325842240,328756518,304289745,352653904,382810974,380835361,463998281,508564121,972872038,861702684
Liste todas as cidades em New Jersey com mais de 100000 habitantes.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que museu de Nova York tem mais visitantes?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a altura da torre Yokohama Marine?,1125571179,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,195496961,184302484,190455178,188705051,183718253,179546067,185403338,206220552,190741969,195032174,183440147,197736806,189626766,187676608,200638519,196907151,206875589,187159362,190188835,196652515,199625357,200630799,198585171,194534670
A nova série Battlestar Galactica tem mais episódios do que a anterior?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o jogador mais jovem de dardos?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem desenvolveu o jogo World of Warcraft?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual papa fundou a Televisão do Vaticano?,8718619824,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,228801662,212459536,228067140,252586722,255429742,226668330,261336776,233575340,272529182,264473374,333958679,322239713,326010188,381557388,546423182,449973231,677374938,627594586,789101582,821089537,824161264,843225605,944527816,827489891
Quem compôs a música para Harold e Maude?,15571556393,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,239603045,242054665,271599063,265741016,276966655,263198982,280786078,285493301,279107301,281754663,309040118,318220257,352694367,350259162,378669920,381860888,407156749,407010939,423255502,431261235,416970238,461811353,476343827,425434771
Liste todos os membros da Prodigy,1307186941,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,180606726,184719655,163923425,191424182,156384622,155146406,175137216,168403631,162487675,172433355,169554542,178807832,159153557,180266387,152969783,158094719,178060827,161797233,154123283,155813886,168298223,170500188,164172562,162106768
Quem atua nos filmes espanhois produzidos por Benicio del Toro?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,379832195,417874876,407735715,485692202,438142456,397745164,448766560,446207187,506111641,473138222,581922339,596570195,496414213,537031310,610818723,624325720,566714094,648979098,722956574,571620760,1165222921,1113088842,1438445923,1292613538
Qual subsidiária da TUI Travel vôa para Glasgow e Dublin?,6252578103,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,158928812,159806222,183370616,192033233,187364898,171382070,206924663,194479825,214257774,229265377,244159894,260182312,282578663,286753877,353108001,358454839,456249412,415022719,477855993,480109885,627238170,612285462,799025209,769969501
Em qual país está localizada Meca?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantos idiomas são falados na Colômbia?,137520552348,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,275768976,270413051,271452509,285006023,287211611,289712153,280943180,281740485,313636951,295878347,308270829,300334818,332913623,336752399,389019398,419819597,473575847,464924171,555844856,579771245,605307544,581902088,596615903,602620933
Qual o maior estádio da Espanha?,1455088104,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,283808679,286817950,292515707,256315674,310965296,293591229,277424389,303978284,295070283,292827534,272259169,296631339,275457894,261947436,267884024,292650693,277094147,297510771,291896746,255197928,270910256,305260691,297260652,274585249
Que surfistas profissionais nasceram nas Filipinas?,4401887863,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,213275099,209474239,226436321,229201349,213400563,225341137,261625312,238214922,258804207,273917973,323628155,341430653,389530948,398208134,528456255,553682777,540631880,702961447,819053861,890672535,1023018845,1100429772,1119379083,852558941
Quais são os cinco condados de New York?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cola é uma bebida?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quando a princesa Diana morreu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Onde é produzido o vinho espumante na França?,3687425148,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,188400221,208710832,215032868,225966989,241792568,224691593,256116382,246740967,268338751,269522655,294903451,323370003,350021864,372548615,437332289,440917664,522843767,486823172,380544766,523345360,525915169,547304816,537144920,538729875
