;base;base;base;base;base;base;base;base;base;base;base;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n
O presidente Jackson dos EUA envolveu-se em uma guerra?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;8;13;13;16;40;66;29;82;145;158;-1;8;13;13;16;40;-1;-1;-1;-1;-1;-1
Quem escreveu o tema do Game of Thrones?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;9;29;49;74;100;148;165;165;168;178;-1;9;29;49;74;-1;-1;-1;-1;-1;-1;-1
Quem projetou a Ponte do Brooklin?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;0;17;32;44;55;69;75;81;81;113;-1;0;17;32;44;-1;-1;-1;-1;-1;-1;-1
Quando Boris Becker encerrou sua carreira?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;149;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;91;91;91;91;91;91;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Que tipos de uvas crescem no Oregon?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;13;13;13;13;13;36;117;179;-1;-1;10;13;13;13;-1;-1;-1;-1;-1;-1;-1
Qual a altura de Michael Jordan?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;29;49;74;98;147;197;297;-1;-1;-1;9;29;49;74;-1;-1;-1;-1;-1;-1;-1;9;29;49;74;98;99;99;100;100;105;-1;9;29;49;74;-1;-1;-1;-1;-1;-1;-1
A que partido o prefeito de Paris pertence?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;4;23;43;68;93;144;194;294;-1;-1;-1;4;23;43;68;-1;-1;-1;-1;-1;-1;-1
Quem escreveu o livro Os Pilares da Terra?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;49;73;73;74;74;74;74;74;74;10;30;49;73;73;-1;-1;-1;-1;-1;-1
Quem foi o 16o presidente dos Estados Unidos?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;99;148;197;297;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1;9;21;41;65;90;139;188;288;-1;-1;-1;9;21;41;65;-1;-1;-1;-1;-1;-1;-1
Qual a altura do Monte Everest?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;74;98;147;197;297;-1;-1;-1;10;30;49;74;-1;-1;-1;-1;-1;-1;-1;10;30;49;74;98;113;113;113;113;116;-1;10;30;49;74;-1;-1;-1;-1;-1;-1;-1
Quem foi o orientador do doutorado de Albert Einstein?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;27;47;72;97;147;197;297;-1;-1;-1;7;27;47;72;-1;-1;-1;-1;-1;-1;-1
Em que cidade Sylvester Stallone mora?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;74;98;148;198;298;-1;-1;-1;10;30;49;74;-1;-1;-1;-1;-1;-1;-1;10;30;49;74;96;146;196;248;250;-1;-1;10;30;49;74;-1;-1;-1;-1;-1;-1;-1
Qual a moeda da República Tcheca?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;99;147;197;297;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;5;10;15;33;58;108;157;157;157;163;-1;5;10;15;33;-1;-1;-1;-1;-1;-1;-1
Sócrates influenciou Aristóteles?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;28;45;69;94;144;194;294;-1;-1;-1;10;28;45;69;-1;-1;-1;-1;-1;-1;-1;8;22;22;22;24;31;42;43;43;43;72;8;22;22;22;-1;-1;-1;-1;-1;-1;-1
Qual o fuso horário de Salt Lake City?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;99;149;198;297;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1;10;30;50;74;99;149;198;297;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1
Quem é o filho de Sonny e Cher?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;8;10;12;22;22;22;26;39;46;136;-1;8;10;12;22;-1;-1;-1;-1;-1;-1;-1
Em que cidade está a sede das Nações Unidas?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;2;15;16;16;16;31;66;130;153;-1;-1;2;15;16;16;16;-1;-1;-1;-1;-1;-1
Quem é o fundador da Penquin Books?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;5;13;22;36;47;77;90;130;172;-1;-1;5;13;22;36;-1;-1;-1;-1;-1;-1;-1
Quando foi fundada a Jack Wolfskin?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;11;20;34;45;75;91;128;170;-1;-1;6;11;20;34;-1;-1;-1;-1;-1;-1;-1
Quem é o prefeito de Rotterdam?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;74;99;149;199;298;-1;-1;-1;10;29;49;74;-1;-1;-1;-1;-1;-1;-1;10;29;49;74;98;148;198;296;-1;-1;-1;10;29;49;74;-1;-1;-1;-1;-1;-1;-1
Liste todos os oceanógrafos suecos.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Mostre-me a autobiografia de Hemingway.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;74;99;104;108;162;167;168;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1
Quem são os pais da esposa de Juan Carlos I?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;99;149;198;297;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1;8;14;21;46;71;121;171;198;198;-1;-1;8;14;21;46;-1;-1;-1;-1;-1;-1;-1
Tesla ganhou um Prêmio Nobel de Física?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;72;91;141;191;291;-1;-1;-1;10;30;49;72;-1;-1;-1;-1;-1;-1;-1;9;29;32;45;47;51;58;66;66;66;66;9;29;32;45;-1;-1;-1;-1;-1;-1;-1
Quem é o jogador de basquete mais alto?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual cidade tem menos habitantes?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
A proinsulina é uma proteína?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem foram os pais da Rainha Victoria?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;99;149;199;299;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1;10;30;50;60;60;60;60;60;60;60;60;10;30;50;60;-1;-1;-1;-1;-1;-1;-1
Che Guevara teve filhos?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;133;135;135;135;135;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
O lago Baikal é maior do que o lago Great Bear?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;74;99;114;114;114;114;114;114;10;29;49;74;-1;-1;-1;-1;-1;-1;-1;10;29;49;74;99;108;108;110;110;110;110;10;29;49;74;-1;-1;-1;-1;-1;-1;-1
Kaurismäki alguma vez venceu o Grand Prix de Cannes?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;74;99;146;196;296;-1;-1;-1;10;30;49;74;-1;-1;-1;-1;-1;-1;-1;10;13;23;44;67;100;111;117;135;138;-1;10;13;23;44;67;-1;-1;-1;-1;-1;-1
Liste todos os livros de William Goldman com mais de 300 páginas.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;28;48;73;98;148;198;298;-1;-1;-1;9;28;48;73;-1;-1;-1;-1;-1;-1;-1;5;24;44;59;59;59;59;59;59;59;59;5;24;44;59;59;-1;-1;-1;-1;-1;-1
Onde está localizado o Fort Knox?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;9;19;20;20;26;26;26;26;26;26;-1;9;19;20;20;-1;-1;-1;-1;-1;-1;-1
Em que estado dos EUA fica o Fort Knox?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;99;149;199;297;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1;6;6;27;10;15;23;40;126;223;-1;-1;6;6;27;10;-1;-1;-1;-1;-1;-1;-1
Onde está enterrado Syngman Rhee?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;29;49;74;99;148;198;298;-1;-1;-1;9;29;49;74;-1;-1;-1;-1;-1;-1;-1;9;29;49;74;99;139;139;139;139;139;-1;9;29;49;74;-1;-1;-1;-1;-1;-1;-1
Qual é o fuso horário de São Pedro de Atacama?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;73;97;147;196;296;-1;-1;-1;10;29;49;73;-1;-1;-1;-1;-1;-1;-1;10;29;49;60;60;60;62;62;62;62;62;10;29;49;60;-1;-1;-1;-1;-1;-1;-1
A que movimento artístico o pintor do quadro As Três Dançarinas pertencia?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;99;149;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;2;19;39;65;71;71;71;73;73;73;73;2;19;39;65;-1;-1;-1;-1;-1;-1;-1
Que cientista é conhecido pelo Projeto Manhattan e pelo Prêmio Nobel da Paz?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;99;148;198;297;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;98;139;139;142;143;183;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Mostre-me todos os livros de Asimov da série Fundação.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;73;98;148;197;297;-1;-1;-1;10;30;50;73;-1;-1;-1;-1;-1;-1;-1;7;17;15;33;33;35;66;72;72;74;-1;7;17;15;33;33;-1;-1;-1;-1;-1;-1
Liste todas as cidades em New Jersey com mais de 100000 habitantes.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;3;10;18;43;57;57;61;66;66;66;76;3;10;18;43;-1;-1;-1;-1;-1;-1;-1
Que museu de Nova York tem mais visitantes?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;99;149;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;15;34;59;83;132;180;181;181;181;-1;7;15;34;59;-1;-1;-1;-1;-1;-1;-1
Qual a altura da torre Yokohama Marine?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;74;99;149;199;299;-1;-1;-1;10;29;49;74;-1;-1;-1;-1;-1;-1;-1;10;16;16;16;16;16;16;28;97;152;-1;10;16;16;16;-1;-1;-1;-1;-1;-1;-1
A nova série Battlestar Galactica tem mais episódios do que a anterior?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;48;73;98;147;196;296;-1;-1;-1;10;29;48;73;-1;-1;-1;-1;-1;-1;-1;8;27;32;32;32;49;59;59;59;61;62;8;27;32;32;-1;-1;-1;-1;-1;-1;-1
Quem é o jogador mais jovem de dardos?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem desenvolveu o jogo World of Warcraft?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;48;71;94;144;194;293;-1;-1;-1;10;30;48;71;-1;-1;-1;-1;-1;-1;-1;8;28;46;67;66;65;68;101;131;176;-1;8;28;46;67;-1;-1;-1;-1;-1;-1;-1
Qual papa fundou a Televisão do Vaticano?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;149;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;2;22;42;67;92;141;168;179;179;-1;-1;2;22;42;67;92;141;-1;-1;-1;-1;-1
Quem compôs a música para Harold e Maude?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;26;45;70;95;144;169;169;169;169;-1;7;26;45;70;95;-1;-1;-1;-1;-1;-1
Liste todos os membros da Prodigy;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;74;99;148;198;297;-1;-1;-1;10;30;49;74;-1;-1;-1;-1;-1;-1;-1;10;23;29;31;33;33;33;33;74;79;-1;10;23;29;31;33;-1;-1;-1;-1;-1;-1
Quem atua nos filmes espanhois produzidos por Benicio del Toro?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;48;71;96;142;192;292;-1;-1;-1;10;30;48;71;-1;-1;-1;-1;-1;-1;-1;10;13;15;22;34;84;134;137;137;137;-1;10;13;15;22;34;-1;-1;-1;-1;-1;-1
Qual subsidiária da TUI Travel vôa para Glasgow e Dublin?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;18;27;43;63;89;112;178;237;-1;-1;10;18;27;43;-1;-1;-1;-1;-1;-1;-1
Em qual país está localizada Meca?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;13;16;41;66;116;166;254;254;-1;-1;6;13;16;41;66;-1;-1;-1;-1;-1;-1
Quantos idiomas são falados na Colômbia?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;9;15;17;17;17;17;17;22;96;196;-1;9;15;17;17;-1;-1;-1;-1;-1;-1;-1
Qual o maior estádio da Espanha?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;18;19;21;22;29;33;86;186;-1;-1;7;18;19;21;22;-1;-1;-1;-1;-1;-1
Que surfistas profissionais nasceram nas Filipinas?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;26;35;30;55;104;154;243;246;-1;-1;7;26;35;30;-1;-1;-1;-1;-1;-1;-1
Quais são os cinco condados de New York?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;5;11;18;22;22;39;88;188;288;-1;-1;5;11;18;22;-1;-1;-1;-1;-1;-1;-1
Cola é uma bebida?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quando a princesa Diana morreu?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;28;48;73;98;148;198;298;-1;-1;-1;9;28;48;73;-1;-1;-1;-1;-1;-1;-1;9;28;32;32;32;32;32;32;32;32;32;9;28;32;32;-1;-1;-1;-1;-1;-1;-1
Onde é produzido o vinho espumante na França?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;74;99;119;120;184;284;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1
